,IBM,NICE,ADBE,STGW,PGY,KOPN,ENPH,SMCI,INTC,DLTR
Company Name,International Business Machines Corporation,NICE Ltd.,Adobe Inc.,Stagwell Inc.,Pagaya Technologies Ltd.,Kopin Corporation,"Enphase Energy, Inc.","Super Micro Computer, Inc.",Intel Corporation,"Dollar Tree, Inc."
Last Updated,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:45,2025-09-16 13:46,2025-09-16 13:46,2025-09-16 13:46
Ticker,IBM,NICE,ADBE,STGW,PGY,KOPN,ENPH,SMCI,INTC,DLTR
Sector,Technology,Technology,Technology,Communication Services,Technology,Technology,Technology,Technology,Technology,Consumer Defensive
Industry,Information Technology Services,Software - Application,Software - Application,Advertising Agencies,Software - Infrastructure,Electronic Components,Solar,Computer Hardware,Semiconductors,Discount Stores
Business Summary,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through Software, Consulting, Infrastructure, and Financing segments. The Software segment offers hybrid cloud and AI platforms that allows clients to realize their digital and AI transformations across the applications, data, and environments in which they operate. Its Consulting segment focuses on skills integration for strategy, experience, technology, and operations by domain and industry. The Infrastructure segment provides on-premises and cloud based server, and storage solutions, as well as life-cycle services for hybrid cloud infrastructure deployment. Its Financing segment offers client and commercial financing, facilitates IBM clients' acquisition of hardware, software, and services. It has strategic partnership with various companies, including hyperscalers, service providers, system integrators, and software and hardware vendors that includes Adobe, Amazon Web services, Microsoft, Oracle, Salesforce, Samsung Electronics and SAP, and others. The company was formerly known as Computing-Tabulating-Recording Co. International Business Machines Corporation was incorporated in 1911 and is headquartered in Armonk, New York.","NICE Ltd., together with its subsidiaries, provides AI-powered cloud platforms for customer engagement, and financial crime and compliance worldwide. It offers CXone Mpower, an AI platform that enables enterprises to design, build, and operate customer service automation; and NICE Evidencentral, a digital evidence management and investigation platform for criminal justice system. The company also provides X-Sight, an open and flexible AI-cloud platform for the high-end market; and Xceed, an AI cloud platform for anti-money laundering and fraud prevention for small and mid-sized organizations. In addition, it offers data intelligence solutions enable organizations to turn raw data into comprehensive actionable intelligence to prevent and detect financial crimes. The company was formerly known as NICE-Systems Ltd. and changed its name to NICE Ltd. in June 2016. NICE Ltd. was incorporated in 1986 and is headquartered in Ra'anana, Israel.","Adobe Inc. operates as a technology company worldwide. Its Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content; Document Cloud, a cloud-based document services platform; and Creative Cloud, a subscription service that allows subscribers to use its creative products and applications (apps) integrated with cloud-delivered services across various surfaces and platforms. This segment serves photographers, video editors, graphic and experience designers, game developers, content creators, students, marketers, knowledge workers, and consumers. The company's Digital Experience segment provides an integrated platform; and products, services, and solutions that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. Its Publishing and Advertising segment offers e-learning, technical document publishing, web conferencing, document and forms platform, web application development, high-end printing, and Adobe Advertising solutions. It provides consulting, training, customer management, technical support, and learning services. The company offers its solutions to enterprise customers, and businesses and consumers; and licenses its products to end-user customers through app stores and website at adobe.com. It markets and distributes its products through distributors, retailers, software developers, mobile app stores, systems integrators, independent software vendors, value-added resellers, and original equipment and hardware manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.","Stagwell Inc. provides digital transformation, performance media and data, consumer insights and strategy, and creativity and communications services in the United States, the United Kingdom, and internationally. The company develops in-house software and related technology products, including AI-enabled communications, research, and media technology, cookie-less data platforms, software tools for e-commerce applications, specialty media solutions in the augmented reality space, and applications of text-messaging for consumer engagement; designs and builds digital platforms and experiences that support the delivery of content, commerce, service, and sales; creates websites, mobile applications, back-end systems, content and data management systems, and other digital environments; and designs and implements technology and data strategies. It also develops omnichannel media strategies and provide coordinated execution for the placement of advertisements; and provides audience analysis, and media buying and planning services, as well as strategic insights and guidance services that offers business content, product, communications, and media strategies. Further, it offers Stagwell Marketing Cloud, a suite of software-as-a-service (SaaS) and data-as-a-service (DaaS) technology solutions, including research and insights, communications technology, media studios, and advance media platform; and a suite of marketing services, as well as self-service technology-driven solutions for in-house marketers. Stagwell Inc. was founded in 2015 and is headquartered in New York, New York.","Pagaya Technologies Ltd., a product-focused technology company, deploys data science and proprietary artificial intelligence-powered technology for financial services and other service providers, their customers, and asset investors in the United States, Israel, and the Cayman Islands. The company develops and implements proprietary artificial intelligence technology and related software solutions to assist partners to originate loans and other assets. Its partners include financial technology companies, incumbent banks and financial institutions, auto finance providers, and residential real estate service providers. The company was incorporated in 2016 and is headquartered in New York, New York.","Kopin Corporation, together with its subsidiaries, develops, manufactures, and sells microdisplays, subassemblies, and related components for defense, enterprise, industrial, and consumer products in the United States, the Asia-Pacific, Europe, and internationally. It offers miniature active-matrix liquid crystal displays, ferroelectric liquid crystal on silicon displays, organic light emitting diode displays, MicroLED display technologies, application specific optical solutions, backlights, and optical lenses. The company's products are used for soldier thermal weapon rifle sights, avionic fixed and rotary wing pilot helmets, armored vehicle targeting systems, and training and simulation headsets; industrial and medical headsets; 3D optical inspection systems; and consumer augmented reality and virtual reality wearable headsets systems. Kopin Corporation was incorporated in 1984 and is headquartered in Westborough, Massachusetts.","Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter that converts energy at the individual solar module level and combines with its proprietary networking and software technologies to provide energy monitoring and control. It also provides microinverter units and related accessories; IQ Battery and related accessories; IQ Gateway and IQ Energy Router; cloud-based Enlighten monitoring service; and electric vehicle charging solutions, as well as design, proposal, permitting, and lead generation services. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California.","Super Micro Computer, Inc., together with its subsidiaries, develops and sells server and storage solutions based on modular and open-standard architecture in the United States, Asia, Europe, and internationally. The company offers liquid and air-cooled AI servers for training and inferencing with integrated graphics processing units (GPUs) or PCIe based architectures; SuperBlade, MicroBlade, FlexTwin, GrandTwin, and BigTwin blade and multi-node systems; SuperStorage systems; Hyper, CloudDC, and WIO and rackmount systems; embedded (5G/IoT/Edge) systems; and MicroCloud server systems. It also provides workstations and networking devices; and modular server subsystems and accessories, including server boards, chassis, power supplies, and other accessories. In addition, the company offers remote system management solutions, such as Server Management suite comprising Supermicro Server Manager, Supermicro Power Management software, Supermicro Update Manager, SuperCloud Composer, and SuperDoctor 5. Further, the company identifies service requirements; creates and executes project plans; conducts verification testing; offers training; and provides technical documentation. Additionally, it offers rack level services from design to deployment for full rack and cluster level deployments of AI and HPC datacenters; help desk services and on-site product support; and warranties, maintenance, and technical support services. The company serves enterprise data centers, cloud computing, artificial intelligence, 5G, and edge computing markets through direct and indirect sales force, distributors, value-added resellers, system integrators, and original equipment manufacturers. Super Micro Computer, Inc. was incorporated in 1993 and is headquartered in San Jose, California.","Intel Corporation designs, develops, manufactures, markets, and sells computing and related products and services worldwide. It operates through Intel Products, Intel Foundry, and All Other segments. The company offers microprocessor and chipset, stand-alone SoC, and multichip package; Computer Systems and Devices; hardware products comprising CPUs, graphics processing units (GPUs), accelerators, and field programmable gate arrays (FPGAs); and memory and storage, connectivity and networking, and other semiconductor products. It also offers silicon and software products; and optimization solutions for workloads, such as AI, cryptography, security, storage, networking, and leverages various features supporting diverse compute environments. In addition, the company provides driving assistance and self-driving solutions; advanced process technologies enabled by an ecosystem of electronic design automation tools, intellectual property, and design services, as well as systems of chips, including advanced packaging technologies, software, and system. Further, it delivers and deploys intelligent edge platforms that allow developers to achieve agility and drive automation using AI for efficient operations with data integrity, as well as provides hardware and software platforms, tools, and ecosystem partnerships for digital transformation from the cloud to edge. The company serves original equipment manufacturers, original design manufacturers, cloud service providers, and other manufacturers and service providers. Intel Corporation was incorporated in 1968 and is headquartered in Santa Clara, California.","Dollar Tree, Inc. operates retail discount stores under the Dollar Tree and Dollar Tree Canada brands in the United States and Canada. The company offers consumable merchandise comprising everyday consumables, such as household paper and chemicals, food, candy, health, personal care products, and frozen and refrigerated food; variety merchandise consisting of toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods, including Christmas, Easter, Halloween, and Valentine's Day merchandise. Dollar Tree, Inc. was founded in 1986 and is based in Chesapeake, Virginia."
Current Price,255.81,144.31,350.1,5.18,41.81,2.38,38.95,44.94,25.03,95.91
Current Market Cap,238291861504,8909944832,148510294016,1338788096,3202997248,388292320,5092751360,26709186560,116912963584,19562571776
P/E Ratio TTM,41.259678,17.220762,22.413252,Infinity,N/A,N/A,30.1938,26.752562,N/A,18.58721
P/E Ratio LFQ (Calculated),40.85236875987378,16.588245128244925,21.620366795431977,,,,29.15074382816133,25.465113377557678,,
Forward P/E,24.110273,11.857847,17.036253,6.46875,83.62,-34.071426,10.6420765,10.600072,25.807732,15.826734
P/B Ratio,8.662422,2.4041247,12.58203,1.8018804,8.683282,23.382353,5.7823634,4.23763,1.119416,5.4441733
P/S Ratio TTM,3.7209847,3.1389987,6.4065523,0.46834567,2.777932,8.268667,3.434497,1.2155987,2.2029953,1.0545236
Current Ratio MRQ,0.908,1.834,1.019,0.862,1.424,1.271,1.969,5.246,1.24,1.036
Debt to Equity MRQ,245.465,14.446,56.381,224.347,140.847,13.727,140.21,80.281,47.997,203.675
ROE TTM,0.22665001,0.14924,0.52875,0.02595,-0.50696,-1.73007,0.19795,0.17899999,-0.18616,0.20055
Revenue Growth YOY,0.077,0.094,0.107,0.053,0.304,-0.315,0.197,0.075,0.002,0.123
Quarterly Revenue Growth (Calculated),0.16752630493088508,0.03787532562497144,0.027826391319565977,0.08450916009451621,0.12383977587865753,-0.19771415113281862,0.01985205737971939,0.25152606147116263,0.015157495855372228,-0.014936310537319223
P/FCF TTM (Calculated),20.26291339319728,12.157539811754818,18.863240698082052,15.067449562760965,74.00127643647622,,10.60793177931592,17.430667789154935,,12.524053633802817
P/FCF LFQ (Calculated),20.4612623651039,13.497666800987714,15.737023844018227,6.646121634837345,29.11683330757693,,13.653159468002112,17.430667789154935,,10.908700036803658
TEV/EBITDA LFQ (Calculated),22.561509725271318,9.150689582349377,15.686868117396852,8.35867588655271,24.472448689421785,,15.69066648749072,20.191528385895072,131.14864529496404,11.268780320455608
Operating Margin MRQ,0.18319,0.22097999,0.36289,0.02823,0.17301,-0.64594,0.111049995,0.03967,-0.03803,0.04879
Operating Margin LFQ (Calculated),0.17066429307598613,0.212950159364192,0.36374496703685677,0.04434560635175843,0.1160791561886313,-0.3062252736284675,0.12818859702068286,0.057026743349571245,-0.0828528358771434,0.12341003651184512
Gross Margin,0.5757,0.67030996,0.89138,0.35952,0.42263,0.20013,0.32768002,0.11059,0.32921,0.35829
Gross Margin LFQ (Calculated),0.5757050501264874,0.6703315557306109,0.8924826335117915,0.35951971403653676,0.408446111056808,0.28367598123641835,0.4823218954656085,0.11059154174200105,0.29762577727529677,0.41997962129574595
Profit Margin,0.091079995,0.18923001,0.30012,-0.00058,-0.24358,-0.29148,0.117819995,0.04774,-0.38636002,-0.15799
Profit Margin LFQ (Calculated),0.09108654236547051,0.18923031340508803,0.30392460510596875,-0.0005849125447298925,-0.2495623661551312,-0.29148213700331166,0.11781851239156663,0.047735845398438614,-0.3863576408517053,-0.2488579434490957
Free Cash Flow LFQ (Calculated),2025-06-30 00:00:00: $1328M; 2025-03-31 00:00:00: $3975M; 2024-12-31 00:00:00: $3886M; 2024-09-30 00:00:00: $2457M,2025-06-30 00:00:00: $39M; 2025-03-31 00:00:00: $265M; 2024-12-31 00:00:00: $225M; 2024-09-30 00:00:00: $132M,2025-05-31 00:00:00: $2144M; 2025-02-28 00:00:00: $2456M; 2024-11-30 00:00:00: $2873M; 2024-08-31 00:00:00: $1964M,2025-06-30 00:00:00: $90M; 2025-03-31 00:00:00: $-76M; 2024-12-31 00:00:00: $194M; 2024-09-30 00:00:00: $-7M,2025-06-30 00:00:00: $54M; 2025-03-31 00:00:00: $31M; 2024-12-31 00:00:00: $23M; 2024-09-30 00:00:00: $3M,2025-06-30 00:00:00: $-5M; 2025-03-31 00:00:00: $-4M; 2024-12-31 00:00:00: $-2M; 2024-09-30 00:00:00: $-6M,2025-06-30 00:00:00: $18M; 2025-03-31 00:00:00: $34M; 2024-12-31 00:00:00: $159M; 2024-09-30 00:00:00: $162M,2025-06-30 00:00:00: $841M; 2025-03-31 00:00:00: $594M; 2024-12-31 00:00:00: $-267M; 2024-09-30 00:00:00: $365M,2025-06-30 00:00:00: $-1500M; 2025-03-31 00:00:00: $-4370M; 2024-12-31 00:00:00: $-2669M; 2024-09-30 00:00:00: $-2404M,2025-07-31 00:00:00: $380M; 2025-04-30 00:00:00: $234M; 2025-01-31 00:00:00: $1178M; 2024-10-31 00:00:00: $1M
Total Cash MRQ,$15.447B,$1.632B,$5.940B,$181.309M,$204.505M,$26.787M,$1.530B,$5.176B,$21.206B,$666.300M
Total Debt MRQ,$67.719B,$539.034M,$6.636B,$1.753B,$763.714M,$2.202M,$1.235B,$5.059B,$50.757B,$7.343B
ROA,0.048130002,0.07275,0.18094,0.0225,0.07117,-0.16307,0.03744,0.065689996,-0.00853,0.0529
EPS TTM,6.2,8.38,15.62,0.0,-3.96,-0.06,1.29,1.68,-4.77,5.16
Dividend Yield,2.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shares Outstanding,931518976,61741700,424200000,258703008,65319800,162806000,130751000,594273024,4670260224,203968000
Target Price,281.2463,200.2857,457.52487,8.39333,40.5,2.66667,42.78871,49.82353,22.17571,112.30435
Recommendation,2.52381,N/A,2.0,1.71429,N/A,1.0,2.85294,2.8,3.04651,2.33333
Institutional Ownership (%),65.15,59.41,86.06,44.21,65.39,39.04,96.15,52.14,65.24,107.26
Insider Ownership (%),0.12,0.0,0.18,58.6,14.69,3.02,3.29,16.62,0.08,0.14
Short Ratio,2.86,2.91,2.71,5.93,2.93,4.18,3.25,2.64,0.83,5.2
52W High,296.16,200.65,557.9,8.18,42.2,2.67,126.19,66.44,27.55,118.06
52W Low,203.51,127.0,330.04,4.03,8.2,0.56,29.89,17.25,17.67,60.49
Beta,0.697,0.309,1.486,1.545,5.992,2.962,1.513,1.553,1.23,0.894
Momentum 1M (%),6.83,5.43,-2.0,-10.16,23.08,22.94,8.89,-2.0,5.81,-14.41
Momentum 3M (%),-8.62,-13.92,-12.85,15.0,123.94,45.43,-15.2,2.87,20.7,-3.12
Momentum 6M (%),2.48,-4.46,-12.33,-14.04,264.2,62.24,-38.95,7.16,-2.56,45.78
Momentum 1Y (%),21.13,-10.62,-32.87,-28.62,223.36,162.09,-65.06,0.08,19.72,33.38
Relative Strength (%),56.45,23.5,8.8,27.59,98.85,86.49,9.41,56.3,74.53,61.53
Price vs 50MA (%),-0.81,-3.3,-1.97,-3.11,31.84,21.16,5.97,-6.5,9.21,-12.7
Price vs 200MA (%),2.12,-10.09,-13.42,-10.26,142.62,57.64,-25.28,10.74,15.35,11.24
Current Volume,1152673,313605,4101138,668757,1759120,4859556,3930338,10908381,33701399,2010964
Avg Volume 1M,3735394,643447,4646944,1006126,3322843,3690993,6795930,25132389,96213647,4779374
Avg Volume 3M,4661059,602265,4235041,1329711,3378962,3448982,9016206,36731387,96849373,3743229
Volume Change 1M (%),-69.14,-51.26,-11.75,-33.53,-47.06,31.66,-42.17,-56.6,-64.97,-57.92
Volume Change 3M (%),-75.27,-47.93,-3.16,-49.71,-47.94,40.9,-56.41,-70.3,-65.2,-46.28
Volume Change 6M (%),-74.94,-40.03,3.29,-47.21,-34.75,62.37,-47.85,-74.42,-64.07,-56.85
Volume Change 1Y (%),-74.43,-42.19,8.61,-22.72,-30.4,55.61,-33.84,-81.82,-62.94,-51.8
Volume Ratio (Avg),0.24,0.52,0.98,0.5,0.51,1.4,0.43,0.29,0.34,0.53
Volume Trend (10d/Avg),0.9,1.02,1.51,0.74,0.88,1.33,0.75,0.74,0.58,1.79
Volume Ratio 1M,0.31,0.49,0.88,0.66,0.53,1.32,0.58,0.43,0.35,0.42
Volume Ratio 3M,0.25,0.52,0.97,0.5,0.52,1.41,0.44,0.3,0.35,0.54
Volume Ratio 6M,0.25,0.6,1.03,0.53,0.65,1.62,0.52,0.26,0.36,0.43
Volume Ratio 1Y,0.26,0.58,1.09,0.77,0.7,1.56,0.66,0.18,0.37,0.48
